"","spcode","spcode_4_3","accepted_species","dispersal_syndrome_modified","pollination_syndrome_modified","sexual_system_modified","mean_wd","seedlength_mm","seedlength_cat","n_mgg_1","p_mgg_1","n_p_ratio"
"118","ormocc","ormococ","Ormosia coccinea","daut","pins","ssher",0.625,NA,NA,23.93,0.9,26.5888888888889
"119","ormoin","ormoint","Ormosia intermedia","dani","pins","ssher",0.601395833333333,NA,"15_to_30mm",26.1,1,26.1
"120","otobno","otobnov","Otoba novogranatensis","dani","pins","ssdio",0.35,NA,"30_to_50mm",19.26,0.96,20.0625
"121","pachaq","pachaqu","Pachira aquatica","dvar","pmam","ssher",0.376666666666667,15.5,"30_to_50mm",23.9,1.4,17.0714285714286
"122","paratr","paratry","Parathesis trichogyne","dani","pins","ssher",0.62,NA,"15_to_30mm",14.4,0.9,16
"123","pentma","pentmac","Pentaclethra macroloba","daut","pins","ssher",0.603454545454545,NA,"50_to_100mm",29.24,1.14,25.6491228070175
"124","peraar","peraarb","Pera arborea","daut","pins","ssdio",0.73,NA,"30_to_50mm",21.5,0.9,23.8888888888889
"125","podogu","podogua","Podocarpus guatemalensis","dani","pwin","ssdio",0.4,NA,NA,14,0.6,23.3333333333333
"126","posola","posolat","Posoqueria latifolia","dani","pins","ssher",0.569666666666667,10.5,"30_to_50mm",13.3,0.5,26.6
"127","pourbi","pourbic","Pourouma bicolor","dvar","pvar","ssdio",0.353166666666667,NA,"15_to_30mm",24.21,0.92,26.3152173913043
"128","pourmi","pourmin","Pourouma minor","dani","pvar","ssdio",0.436,NA,"15_to_30mm",29.38,1.23,23.8861788617886
"129","poutbe","poutbel","Pouteria belizensis","dvar","pins","ssher",0.755863244047619,NA,NA,19.3,0.8,24.125
"130","poutca","poutcal","Pouteria calistophylla","dani","pins","ssher",0.755863244047619,NA,"30_to_50mm",25.6,0.9,28.4444444444444
"131","poutcm","poutcam","Pouteria campechiana","dani","pins","ssher",0.755863244047619,21.5,"30_to_50mm",25.9,0.71,36.4788732394366
"132","poutcu","poutcus","Pouteria cuspidata","dvar","pins","ssher",0.9,NA,NA,16.1,0.6,26.8333333333333
"133","poutdu","poutdur","Pouteria durlandii","dani","pins","ssdio",0.58,19,"15_to_30mm",33,0.96,34.375
"134","poutfp","poutfil","Pouteria filipes","dani","pins","ssdio",0.964,NA,"15_to_30mm",32.82,0.9,36.4666666666667
"135","poutre","poutret","Pouteria reticulata","dani","pins","ssher",0.794,NA,"15_to_30mm",28.5,0.89,32.0224719101124
"136","poutsi","poutsil","Pouteria silvestris","dani","pins","ssher",0.755863244047619,NA,NA,14.5,0.6,24.1666666666667
"137","poutto","pouttor","Pouteria torta","dani","pins","ssher",0.7685,NA,"50_to_100mm",19.1,1,19.1
